dataset,filename,lleboul,mtorte
NEAMS,2020_06_01_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_01_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_01_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_01_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_01_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_02_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_02_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_03_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_04_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_04_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_06_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_06_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_07_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_07_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_08_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_08_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_08_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_09_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_09_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_09_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_10_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_10_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_10_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_11_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_11_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_12_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_12_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_12_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_12_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_12_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_13_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_14_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_14_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_15_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_15_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_15_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_16_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_16_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_16_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_17_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_17_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_17_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_17_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_17_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_18_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_18_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_18_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_19_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_20_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_20_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_20_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_21_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_21_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_22_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_22_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_06_23_07_00_00_000000+0000.wav,FINISHED,CREATED
