dataset,filename,annotator1,annotator2
dataset1,2022_07_07T11_04_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_04_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_04_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_04_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_04_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_04_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_05_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_06_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_07_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_08_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_09_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_10_03.wav,FINISHED,FINISHED
