dataset,filename,lleboul,mtorte
MADW,2020_04_10_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_11_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_11_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_11_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_12_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_12_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_13_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_13_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_14_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_14_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_15_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_15_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_15_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_15_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_16_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_17_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_17_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_17_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_17_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_18_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_18_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_19_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_20_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_20_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_20_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_21_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_21_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_22_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_22_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_23_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_24_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_24_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_24_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_24_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_25_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_25_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_25_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_26_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_26_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_26_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_26_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_27_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_27_10_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_28_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_28_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_28_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_29_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_30_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_30_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_30_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_01_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_01_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_01_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_02_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_02_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_02_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_03_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_03_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_04_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_04_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_05_10_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_05_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_07_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_08_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_08_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_09_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_09_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_09_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_10_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_10_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_10_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_10_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_10_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_11_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_11_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_11_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_11_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_11_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_12_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_12_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_12_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_12_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_13_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_14_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_14_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_14_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_14_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_14_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_15_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_15_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_15_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_16_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_16_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_16_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_18_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_19_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_21_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_22_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_23_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_23_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_23_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_24_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_24_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_24_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_25_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_25_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_25_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_26_11_00_00_000000+0000.wav,FINISHED,CREATED
