dataset,filename,jbeesa,mtorte
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_20_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_21_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_22_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_22_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_22_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_22_30_00.wav,FINISHED,CREATED
